TOTAL_QUANTITY,PRACTICE_CODE,ITEMS,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_CHAPTER_PLUS_CODE,POSTCODE,YEAR_MONTH,NIC,ADQUSAGE,PRACTICE_NAME,ACTUAL_COST,BNF_DESCRIPTION,QUANTITY,PRACTICE_LATITUDE,PRACTICE_LONGITUDE
392,F84696,28,Metformin hydrochloride,06: Endocrine System,E3 5JD,23-Jul,11.2,130.66667,TREDEGAR PRACTICE,13.63936,Metformin 500mg tablets,14,51.53114,-0.03161
224,F84647,1,Metformin hydrochloride,06: Endocrine System,E14 3PG,23-Jul,9,149.33333,ROSERTON STREET SURGERY,8.4436,Metformin 1g modified-release tablets,224,51.4983713,-0.01008765
336,F84031,1,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,14.88,112,THE JUBILEE STREET PRACTICE LTD,13.95198,Sukkarto SR 500mg tablets,336,51.5135999,-0.05055
4536,F84122,27,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Jul,127.98,1512,XX PLACE HEALTH CENTRE,120.22642,Metformin 500mg tablets,168,51.52468015,-0.04266905
112,F84122,1,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Jul,2.5,63.46667,XX PLACE HEALTH CENTRE,2.3544,Metformin 850mg tablets,112,51.52468015,-0.04266905
560,F84039,2,Metformin hydrochloride,06: Endocrine System,E1 8ZF,23-Jul,15.8,186.66667,GOODMAN'S FIELD HEALTH CENTRE,14.82623,Metformin 500mg tablets,280,51.5130236,-0.0687569
11872,F84123,53,Metformin hydrochloride,06: Endocrine System,E2 0FA,23-Jul,334.96,3957.33333,SUTTONS WHARF HEALTH CENTRE,314.44761,Metformin 500mg tablets,224,51.5291892,-0.0417677
360,F84718,1,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Jul,10.16,120,THE BLITHEHALE MED.CTR.,9.63028,Metformin 500mg tablets,360,51.52377,-0.0651999
504,F84055,2,Metformin hydrochloride,06: Endocrine System,E3 5TW,23-Jul,14.22,168,THE GROVE ROAD SURGERY,13.34609,Metformin 500mg tablets,252,51.52979,-0.03887
112,F84698,1,Metformin hydrochloride,06: Endocrine System,E14 0PU,23-Jul,218.28,74.66667,ABERFELDY PRACTICE,204.49703,Metformin 1g tablets,112,51.51448982,-0.004900067
560,F84714,20,Metformin hydrochloride,06: Endocrine System,E14 7LJ,23-Jul,24.8,186.66667,ST.PAUL'S WAY MEDICAL CTR,25.48063,Sukkarto SR 500mg tablets,28,51.51800955,-0.02460595
1050,F84714,75,Metformin hydrochloride,06: Endocrine System,E14 7LJ,23-Jul,30,350,ST.PAUL'S WAY MEDICAL CTR,36.53399,Metformin 500mg tablets,14,51.51800955,-0.02460595
168,F84747,3,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Jul,3.75,95.2,THE BARKANTINE PRACTICE,3.5502,Metformin 850mg tablets,56,51.50071373,-0.025713573
896,F84656,4,Metformin hydrochloride,06: Endocrine System,E14 9WU,23-Jul,39.68,298.66667,DOCKLANDS MEDICAL CENTRE,37.22181,Sukkarto SR 500mg tablets,224,51.4911493,-0.0211539
2247,F84031,107,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,63.13,749,THE JUBILEE STREET PRACTICE LTD,71.16696,Metformin 500mg tablets,21,51.5135999,-0.05055
5824,F84087,26,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Jul,164.32,1941.33333,HARFORD HEALTH CENTRE,154.25732,Metformin 500mg tablets,224,51.51835505,-0.03830635
11060,F84081,395,Metformin hydrochloride,06: Endocrine System,E1 5PB,23-Jul,312.05,3686.66666,THE SPITALFIELDS PRACTICE,297.22633,Metformin 500mg tablets,28,51.5173976,-0.0696235
1232,F84081,11,Metformin hydrochloride,06: Endocrine System,E1 5PB,23-Jul,36.52,410.66667,THE SPITALFIELDS PRACTICE,34.34832,Metformin 500mg modified-release tablets,112,51.5173976,-0.0696235
4816,F84118,43,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Jul,142.76,1605.33333,WELLINGTON WAY HEALTH CENTRE,134.27072,Metformin 500mg modified-release tablets,112,51.52589465,-0.02501745
231,F84054,11,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Jul,6.49,77,THE LIMEHOUSE PRACTICE,7.31623,Metformin 500mg tablets,21,51.5112472,-0.0287506
196,F84054,14,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Jul,5.88,65.33333,THE LIMEHOUSE PRACTICE,7.08198,Metformin 500mg modified-release tablets,14,51.5112472,-0.0287506
616,F84747,11,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Jul,43.67,410.66667,THE BARKANTINE PRACTICE,41.04644,Sukkarto SR 1000mg tablets,56,51.50071373,-0.025713573
